component_master_id,formula_canonical_id,formula_name,herb_canonical_id,herb_name,display_dose_text,display_processing,component_order_min,source_trace_count,source_ids,source_origins,book_ids,source_pdf_pages,dose_texts_all,processing_all,authority_status_summary,preferred_trace_id,needs_review,review_reasons,display_status,component_repair_action,master_v2_source,v4_9_invalid_reasons,raw_herb_name_v4_9
fcmp_403cef8227ab,can_31d9c1905f,三物白散,can_971d622f0d,桔梗,,,,1,multibook_v033,phase5_master_relation,mb_shanghan,,,,derived_from_existing_relation_needs_source_trace_review,fctrace_125dc58115b0,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_611a641dad28,can_31d9c1905f,三物白散,can_2122a0c106,巴豆,,,,1,multibook_v033,phase5_master_relation,mb_shanghan,,,,derived_from_existing_relation_needs_source_trace_review,fctrace_67929f939846,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_142340b6be56,can_31d9c1905f,三物白散,can_4c49f2600b,貝母,,,,1,multibook_v033,phase5_master_relation,mb_shanghan,,,,derived_from_existing_relation_needs_source_trace_review,fctrace_11bb57c3dfd4,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_78e8eb1e2696,can_de5e22c02f,參蘇飲,can_9f98641c2e,人參,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_574723fa9c6d,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_1fb1598a81ea,can_de5e22c02f,參蘇飲,can_b57bbdac71,紫蘇葉,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_13aa3d21cc77,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_250c9d6cd846,can_de5e22c02f,參蘇飲,can_d7ca2e046b,葛根,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_f62893d4e79a,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_b161d6b84e00,can_de5e22c02f,參蘇飲,can_adcdc6f85c,前胡,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_77887c504a21,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_8871b6f1194d,can_de5e22c02f,參蘇飲,can_651be2a3b5,半夏,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_092b5fd9ed9c,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_4e56e4da5c12,can_de5e22c02f,參蘇飲,can_b3fa20c1ab,茯苓,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_3e52ae2e13f9,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_81d575f44c44,can_de5e22c02f,參蘇飲,can_0da81d3e20,陳皮,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_9ca0f605c889,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_ffda2132279e,can_de5e22c02f,參蘇飲,can_971d622f0d,桔梗,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_ed3b6ecf95f5,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_32e429f7047c,can_de5e22c02f,參蘇飲,can_1fab8dc56d,枳殼,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_b97b69890bb4,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_20a2c5655fb0,can_de5e22c02f,參蘇飲,can_60d7f50e7f,木香,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_e24fca458d20,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
fcmp_260129d89847,can_de5e22c02f,參蘇飲,can_51e3fc3d1f,甘草,,,,2,tcm_v146,phase5_master_relation,v146_graph,,,,v146_seed_component_index,fctrace_de50b5a16795,NO,,display_ready,keep_display,phaseG_repaired_safe_display_components,,
