formula_family_id,family_display_name,root_formula_id,root_formula_name,member_count,member_formula_ids,member_formula_names,family_build_rule
ffam_54e01fe1716b,桂枝湯,can_2849adeebb,桂枝湯,20,can_072d834e75|can_2849adeebb|can_31ea8af2d7|can_32a7831dff|can_3eb22fdca8|can_44bdb5ddeb|can_4d1113ca58|can_5a2b52f66f|can_5def52eacc|can_6dec689ab1|can_8f6838f146|can_92d4740e5c|can_a2c8064f4e|can_a5504301bc|can_a9e9beb2b4|can_ae15981a69|can_b89804367c|can_de97b9f678|can_e4355f999b|can_f6f14b7644,枳實薤白桂枝湯|栝蔞桂枝湯|桂枝加厚朴杏子湯|桂枝加大黃湯|桂枝加桂湯|桂枝加芍藥湯|桂枝加芍藥生薑各一兩人參三兩新加湯|桂枝加葛根湯|桂枝加附子湯|桂枝加黃耆湯|桂枝加龍骨牡蠣湯|桂枝去桂加茯苓白朮湯|桂枝去芍藥加蜀漆牡蠣龍骨救逆湯|桂枝去芍藥加附子湯|桂枝去芍藥加麻黃細辛附子湯|桂枝去芍藥湯|桂枝救逆湯|桂枝湯|烏頭桂枝湯|白虎加桂枝湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_b4881645aec1,四逆湯,can_4bd7a9684a,四逆湯,5,can_4bd7a9684a|can_6e13529ee9|can_78057b3b1b|can_98480251f0|can_eaa4fac2c8,四逆加人參湯|四逆湯|茯苓四逆湯|通脈四逆加豬膽汁湯|通脈四逆湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_b5b608504480,理中丸,can_a61be5b856,理中丸,5,can_878c153b29|can_99f4cfe9b4|can_a61be5b856|can_a6c1667847|can_e8a9b7ca92,六君子湯|六君子湯合旋覆代赭湯|旋覆代赭湯|理中丸|理中丸合旋覆代赭湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_a34f6830aae5,黃連阿膠湯,can_2894f9f3f7,黃連阿膠湯,5,can_239d9dd90c|can_2894f9f3f7|can_49e2e4cbd9|can_6accb76fb8|can_ddf23de8f1,六味地黃丸|六味地黃丸+黃連阿膠湯|杞菊地黃丸|知柏地黃丸|黃連阿膠湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_575bfb5cd4cc,桂苓五味甘草湯,can_bf1d0528e8,桂苓五味甘草湯,4,can_8385e54d5e|can_ade50c4bf6|can_bf1d0528e8|can_ccabb452af,桂苓五味甘草去桂加薑辛夏湯|桂苓五味甘草湯|苓甘五味加薑辛半夏杏仁湯|苓甘五味薑辛湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_7063ea018212,保和丸,can_14b2be885f,保和丸,3,can_14b2be885f|can_2a3a21c9f3|can_ff2d987c21,保和丸|保和丸合神朮散|神朮散,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_c0a94a2a6bf2,柴胡加龍骨牡蠣湯,can_fa297aa0fd,柴胡加龍骨牡蠣湯,3,can_2a67e77749|can_8471a13e84|can_fa297aa0fd,柴胡加芒硝湯|柴胡加龍骨牡蠣湯|柴胡湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_546ec7d1bff6,桑菊飲,can_a9a31fe009,桑菊飲,3,can_0a0f9fcbb2|can_a9a31fe009|can_f021b59b9c,桑菊飲|桑菊飲加黃芩、梔子|桑菊飲加黃芩梔子,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_bfdef1995e01,溫膽湯,can_1058a353ca,溫膽湯,3,can_1058a353ca|can_bebc22dbfd|can_cea0605525,溫膽湯|溫膽湯加川連銀花|黃連溫膽湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_1ddb2c7232ab,白通湯,can_53b7f575c7,白通湯,3,can_53b7f575c7|can_87c8ab9e40|can_d460c9e65d,白通加諸膽汁湯|白通加豬膽汁湯|白通湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_a6d33e95bbf3,荊防敗毒散,can_79538de35a,荊防敗毒散,3,can_26b2bdbc35|can_79538de35a|can_a8f729bca5,人參敗毒散|敗毒散|荊防敗毒散,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_72cfae04aa56,越婢加朮湯,can_479e52b534,越婢加朮湯,3,can_1456bfc3e0|can_479e52b534|can_4bc4dfa755,越婢加半夏湯|越婢加朮湯|越婢湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_6a1ff03faab3,三子養親湯,can_7a66706a59,三子養親湯,2,can_7a66706a59|can_ca1a5ddd96,三子養親湯|三子養親湯加味,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_d64e71a66d53,半夏白朮天麻湯,can_60d2d48034,半夏白朮天麻湯,2,can_60d2d48034|can_b3d58e7ca0,半夏天麻白朮湯|半夏白朮天麻湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_c9b4c344a20d,四君子湯,can_4b61b5b9da,四君子湯,2,can_40a317216a|can_4b61b5b9da,加味四君子湯|四君子湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_d6e50f68c829,四物湯,can_6727bb4e93,四物湯,2,can_6727bb4e93|can_7f4cabb973,元戎四物湯|四物湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_33e479a3461a,四逆散,can_6e63275c1f,四逆散,2,can_6e63275c1f|can_8f60eaf66d,四逆散|四逆散去柴胡加旋覆花代赭石,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_5255a1b554af,增液湯,can_f0b562eceb,增液湯,2,can_b07ccc05ec|can_f0b562eceb,增液湯|增液湯合活血藥,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_027f73073d0c,宣痹湯,can_7ac926917c,宣痹湯,2,can_381970419d|can_7ac926917c,宣痹湯|宣痹湯加秦艽地龍絲瓜絡威靈仙,connected_components_of_variant_alias_combo_relations; no canonical merge performed
ffam_277b54ec6ad1,小半夏湯,can_f51682eb9f,小半夏湯,2,can_b7bc26913a|can_f51682eb9f,小半夏加茯苓湯|小半夏湯,connected_components_of_variant_alias_combo_relations; no canonical merge performed
